Image,prompt,en_prompt
11.png,"一位女士正面面向镜头,双手捧着一只带搭扣的红色平底鞋,首先以侧面角度展示。接着她将鞋身旋转,把鞋口朝向镜头,再稍稍前倾展示鞋面开口。最后她把鞋凑近镜头,展示搭扣与鞋面的细节,随后轻轻放回胸前。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female stands facing the camera, holding a red shoe. She initially holds the shoe with both hands near her chest, presenting the side profile. She then rotates the shoe to show the top opening, tilting it slightly forward. Finally, she brings the shoe closer to the camera and uses her right hand to pull the strap on the shoe, demonstrating its flexibility while maintaining eye contact with the lens. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
12.png,"一位女士站在镜头前,右手提着一条挂在夹式衣架上的深蓝色阔腿牛仔裤,裤腿外侧有橙色撞色车线,腰头处带有棕色皮质标牌。她最初稳稳举着衣架,正面展示牛仔裤,接着用左手抓住一侧裤腿,把裤腿向上提起并稍稍向外拉伸,展示阔腿剪裁的宽度。随后她将整条牛仔裤水平地从右向左甩动,使裤腿摆向她的左侧,再扭转衣架让裤身侧向展示。最后她让牛仔裤回到自然下垂状态,左手抬起对镜头做开掌手势继续讲解,整段表情平静。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female stands facing the camera, holding a pair of dark blue wide-leg jeans on a clip hanger with her right hand; the jeans have orange contrast stitching down the outer legs and a brown leather patch on the waistband. She first steadies the hanger to display the front of the jeans, then uses her left hand to grab one of the pant legs, lifting it upward and pulling it slightly outward to display the wide-leg cut. She then swings the entire pair of jeans horizontally from her right to her left, with the legs sweeping to her left side, and twists the hanger to turn the jeans sideways. Finally, she lets the jeans return to hanging vertically and raises her left hand with an open palm gesture toward the camera as she continues to explain. Her facial expression remains calm throughout. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
13.png,"一位女士正面面向镜头,手中拿着一条折叠好的红色围巾。她开始将围巾展开,双手举起以展示三角造型和黑色玫瑰图案。她接着把围巾轻轻抖动让布料自然下垂,然后两手完全张开围巾,揭示完整尺寸。最后她再将围巾折叠回去。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female stands facing the camera, holding a folded red scarf. She begins to unfold the scarf, lifting it with both hands to display its triangular shape and black rose pattern. She then shakes the scarf slightly to let it drape, before holding it wide open in front of her chest to fully reveal the design. Throughout the sequence, she maintains a smile and looks directly at the camera. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
14.png,一名女性模特站在镜头前，双手持一顶迷彩渔夫帽置于胸前，水平旋转展示图案与外形，随后倾斜展示帽檐内侧，全程表情平和，直视镜头。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female model stands facing the camera, holding a camouflage bucket hat in front of her chest with both hands. She rotates the hat horizontally to display its pattern and shape, then tilts it to show the underside and brim. She maintains a neutral expression throughout, looking directly at the camera. Her body remains stationary, with movement limited to her arms and hands manipulating the hat. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
15.png,"一位女模特正面面向镜头,把一块折叠的棕色图案织物举在胸前。她右手做手势指向织物,然后一边双手托着织物一边将头转向右侧。随后她转回正面,举起左手挥手,继续用右手做手势,同时左手稳稳托着织物。她的表情从说话变化到微笑和专注的神情。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female model stands facing the camera, holding a folded brown patterned fabric in front of her torso. She gestures with her right hand, pointing at the fabric, then turns her head to the right while holding the fabric with both hands. She turns back to the front, raises her left hand to wave, and continues to gesture with her right hand while holding the fabric steady with her left hand. Her facial expressions change from speaking to smiling and looking attentive. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
16.png,一名女性演示一双花卉图案手套，将一只手套套在右侧人台手模上，另一只戴在右手拉伸展示弹性，取下后再将人台上的手套套在手上，全程平静注视镜头。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female demonstrates a pair of floral-patterned gloves. She holds one glove on a mannequin hand to her right and wears the matching glove on her right hand. She stretches the glove on her right hand to display its elasticity, then removes it and places it on the table to her left. She then puts on the glove that was on the mannequin hand. Throughout the video, she maintains a neutral expression while looking at the camera. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
17.png,"一位男士正面面向镜头,左手拿着一瓶矿泉水。他用右手拧开瓶子的蓝色瓶盖。然后他用左手把瓶子举到嘴边,将瓶身向上倾斜喝水。喝完之后他放下瓶子,再用右手把瓶盖重新拧回瓶身上。他保持目光直视镜头并面带微笑。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A male stands facing the camera, holding a water bottle in his left hand. He uses his right hand to unscrew the blue cap of the bottle. He then lifts the bottle to his mouth with his left hand and tilts it upward to drink. His facial expression transitions from neutral to focused as he opens the bottle, and then to a relaxed state as he consumes the liquid. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
18.png,一名女性站在镜头前，手持一件粉色羽绒背心，从低处举起展开展示完整宽度，随后靠近镜头，左手抚摸背心表面展示面料质感，全程与镜头保持眼神接触。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female stands facing the camera, holding a pink puffer vest. She lifts the vest from a lower position, unfolds it to display its full width, and then brings it close to the camera lens. She runs her left hand over the surface of the vest to demonstrate its texture. Throughout the sequence, she maintains eye contact with the camera. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
19.png,一名女性演示员站在桌后，双手竖持一个深棕色木质茶盘，旋转展示其侧面轮廓，随后向前倾斜露出平面与内部结构，以多角度定格让镜头捕捉茶盘的尺寸与工艺细节。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。,"A female demonstrator stands behind a table and interacts with a dark brown wooden tea tray. She holds the tray vertically with both hands, rotating it to display its side profile. She then tilts the tray forward to reveal its flat surface and internal structure. The demonstrator holds the tray steady at various angles, allowing the camera to capture the object's dimensions and design features. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
20.png,"一位女士双手持着一只铜质大茶壶展示给镜头看。她一边稳稳持住茶壶一边讲解。接着她用右手把壶盖提起来,放在前方的托盘上。随后她将茶壶举高、旋转,让观众看到壶身各个角度。最后她再把壶盖盖回壶上。镜头始终保持静止，固定机位拍摄，全程无任何镜头切换或画面切换。","A female is holding a copper teapot with both hands, presenting it to the camera. She speaks while holding the teapot steady. Next, she uses her right hand to lift the lid off the teapot and places it on the tray in front of her. She then lifts the teapot up and rotates it, allowing viewers to see the body of the teapot from various angles. Throughout the sequence, the female maintains a focused expression and continues to speak. The camera remains completely static throughout, shot from a fixed position with no cuts, no shot changes, and no scene transitions."
